Column1,Column1,Column2,,,,,,,
,,,,,,,,,
,,,,,,,,,
text,text,text,Text,Текст,text,文本,文字,text,Texte
자동,자동,Auto,Auto,Авто ,自動,自动,自動,อัตโนมัติ,Auto
오픈가능,오픈가능,Open,öffenbar ,Открываемый|18,オープン可能,可开业,可開放,เปิดได้,ouvrable 
보상,보상,Reward,Belohnung|16,Награда,報酬,奖励,獎勵,รางวัล,Récompense|14
보상 ,보상,Reward,Belohnung,Награда,報酬,奖励,獎勵,รางวัล,Récompense|30
 보상,보상,Reward,Belohnung|10,Награда|10,報酬,奖励,獎勵,รางวัล,Récompense|8
상점,상점,Shop,Laden,Магазин,ショップ,商店,商店,ร้านค้า,Charge
나가기,나가기,Close,Schließen,Выйти,退場,推出,關閉,ออก,Sortir
손님,손님,Customer,Gäste,Клиент,お客さん,客人,客人,ลูกค้า,Invités
VIP,VIP,VIP,VIP,VIP,VIP客,VIP,VIP,VIP,VIP
종업원,종업원,Employee,Angestellter ,Работник ,従業員 ,员工 ,員工 ,พนักงาน ,Employé 
월드,월드,World,Welt,Мир,ワールド,世界,世界,โลก,Monde
일일,일일,Daily,Täglich,Ежедневно,デイリー,日常,每日,รายวัน,Du quotidien
COMPLETE,COMPLETE,COMPLETE,KOMPLETT,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLÈTEMENT
액션,액션,Action,Aktion,Действие,アクション,行动,動作,แอคชั่น,Action
NEW!,NEW!,NEW!,NEU!,NEW!,NEW！,新！,NEW!,NEW!,NOUVEAU !
진열대,진열대,Stand,stand,витрина,陳列台,货架,陳列架,ชั้นวาง,Stand
LEVEL UP!,LEVEL UP!,LEVEL UP!,AUFLEVELN!,LEVEL UP!,LEVEL UP！,升级！,LEVEL UP!,LEVEL UP!,LEVEL UP!
캐릭터,캐릭터,Character,Charakter,Персонаж,キャラクター,角色,角色,คาแรกเตอร์,Personnage
상품,상품,Goods,Produkt,Товары,商品,商品,商品,สินค้า,Produit
상품을 10번 진열하세요.,상품을 10번 진열하세요.,Display the goods 10 times.,Stellen Sie das Produkt 10 Mal aus.,Продемонстрируйте товары 10 раз.,商品を10回陳列しましょう。,请展示10次商品！,陳列商品10次。,แสดงรายการ 10 ครั้ง,Exposez le produit 10 fois.
피버 스타트!,피버 스타트!,Fever Start,Fieber starten!|18,Начало лихорадки|18,フィーバースタート！|18,Fiber开始！,狂熱開始！,ฟีเวอร์ สตาร์ท!,Commencer la fièvre !|18
